998.2,1004.4,22.9,92,3.5,22.5,1
998.3,1004.5,22.9,91,4.5,22.5,1
998.5,1004.7,23,90,4.1,45,1.5
998.5,1004.7,22.9,91,4.4,22.5,0.5
998.2,1004.4,23,91,4.6,22.5,1
998.2,1004.4,23,91,4.9,22.5,0.5
998.4,1004.6,23.1,89,3.9,0,0.5
998.5,1004.7,22.8,90,3.1,22.5,0.5
998.7,1004.9,22.7,92,1.7,45,0.5
999.1,1005.3,22.8,92,2.3,67.5,0.5
999.2,1005.4,22.7,93,1.8,90,1
999.3,1005.5,22.7,93,1.3,67.5,1
999.2,1005.4,22.7,94,1.4,67.5,1.5
999.3,1005.5,22.6,94,2.4,0,1
999.2,1005.4,22.6,94,2.5,0,0.5
999.2,1005.4,22.6,94,2.3,0,0.5
999.2,1005.4,22.5,94,3,0,0.5
999.3,1005.5,22.5,94,2.3,22.5,1
999.5,1005.7,22.4,93,1.6,0,0
999.7,1005.9,22.5,94,1,0,0.5
999.8,1006,22.5,93,1.4,0,0.5
999.9,1006.1,22.6,93,1,67.5,1.5
999.9,1006.1,22.5,93,0.5,45,1
999.9,1006.1,22.5,94,0.8,90,1
999.9,1006.1,22.5,94,1.2,90,0.5
999.8,1006,22.5,94,1.2,292.5,1
999.7,1005.9,22.4,94,0.8,292.5,2
